Annual_Income,Monthly_Average_Spend,Transactions_Per_Month,Online_Offline_Spend_Ratio,Travel_Spend_Ratio,Dining_Spend_Ratio,Transaction_Summary,Reward_Tier
924178,41524,85,0.65,0.54,0.14,international travel & online shopping,Gold
765433,40931,35,0.66,0.06,0.17,online shopping,Gold
961922,14087,57,0.65,0.21,0.11,electronics purchase,Basic
1180757,43398,38,0.16,0.5,0.38,flight booking & fine dining,Gold
741461,64656,42,0.26,0.08,0.48,fine dining,Gold
741465,24515,61,0.25,0.16,0.43,fine dining,Basic
1194803,70969,8,0.96,0.41,0.11,international travel & online shopping,Gold
991858,59755,6,0.07,0.59,0.03,international travel,Gold
682631,35315,16,0.43,0.48,0.38,hotel stay & fine dining,Basic
935640,47169,39,0.87,0.47,0.2,flight booking & online shopping,Gold
684145,81966,74,0.77,0.21,0.41,fine dining & online shopping,Basic
683567,64670,76,0.82,0.4,0.39,international travel & fine dining & online shopping,Basic
860490,50175,25,0.97,0.07,0.31,restaurant visit & online shopping,Gold
321679,45246,65,0.39,0.6,0.13,hotel stay,Basic
368770,51532,39,0.31,0.29,0.05,international travel,Basic
659428,39764,52,0.03,0.38,0.13,hotel stay,Basic
546792,7905,19,0.15,0.53,0.25,flight booking,Basic
878561,90843,75,0.56,0.0,0.49,fine dining & electronics purchase,Gold
572993,53106,19,0.16,0.59,0.03,hotel stay,Basic
446924,57962,10,0.74,0.22,0.1,electronics purchase,Basic
1166412,48841,85,0.04,0.2,0.31,fine dining,Gold
743555,35297,72,0.26,0.09,0.15,grocery shopping,Basic
816882,46281,26,0.7,0.51,0.43,hotel stay & fine dining & online shopping,Gold
443812,18012,36,0.26,0.52,0.07,hotel stay,Basic
663904,95541,26,0.73,0.01,0.48,fine dining & electronics purchase,Basic
827730,25309,31,1.0,0.03,0.46,restaurant visit & electronics purchase,Basic
512251,29360,19,0.8,0.55,0.44,flight booking & restaurant visit & online shopping,Basic
893924,41194,48,0.34,0.07,0.09,online shopping,Gold
649840,75761,90,0.9,0.37,0.16,flight booking & electronics purchase,Basic
727076,50290,96,0.05,0.37,0.4,international travel & restaurant visit,Gold
649573,25277,13,0.73,0.52,0.4,international travel & fine dining & online shopping,Basic
1263069,75086,38,0.02,0.34,0.35,flight booking & fine dining,Gold
796625,64620,77,0.17,0.26,0.22,electronics purchase,Gold
535572,60768,19,0.99,0.58,0.16,flight booking & online shopping,Basic
1005636,64314,66,0.36,0.14,0.48,fine dining,Gold
494789,97887,49,0.82,0.16,0.07,electronics purchase,Basic
852215,93701,88,0.38,0.05,0.02,electronics purchase,Gold
310082,36265,76,0.84,0.59,0.0,hotel stay & electronics purchase,Basic
467953,82477,62,0.97,0.42,0.39,flight booking & restaurant visit & electronics purchase,Basic
849215,57663,96,0.44,0.01,0.03,grocery shopping,Gold
984616,59981,23,0.56,0.42,0.27,international travel & electronics purchase,Gold
842842,16154,20,0.63,0.24,0.18,online shopping,Basic
771087,46592,79,0.93,0.58,0.07,international travel & online shopping,Gold
724724,33743,12,0.26,0.17,0.37,fine dining,Basic
430369,66561,37,0.61,0.43,0.03,flight booking & electronics purchase,Basic
620038,71421,78,0.32,0.38,0.16,hotel stay,Basic
684840,8510,22,0.22,0.01,0.28,electronics purchase,Basic
1064280,49559,39,0.08,0.53,0.2,international travel,Gold
885904,72437,47,0.62,0.08,0.13,online shopping,Platinum
359239,46266,54,0.88,0.4,0.46,international travel & restaurant visit & online shopping,Basic
881020,64581,7,0.35,0.47,0.47,flight booking & fine dining,Gold
703729,57023,95,0.55,0.38,0.21,hotel stay & electronics purchase,Gold
630769,56833,63,0.64,0.06,0.2,electronics purchase,Basic
952919,44573,32,0.41,0.59,0.15,flight booking,Platinum
1057749,25668,50,0.9,0.14,0.43,fine dining & electronics purchase,Basic
1032820,27569,68,0.36,0.38,0.28,flight booking,Basic
590195,64187,74,0.13,0.48,0.04,international travel,Basic
722696,50389,51,0.14,0.56,0.43,hotel stay & restaurant visit,Gold
882815,47229,18,0.89,0.36,0.27,international travel & electronics purchase,Gold
1043886,41522,11,0.99,0.16,0.21,online shopping,Gold
680206,43896,78,0.29,0.5,0.17,hotel stay,Basic
753585,70938,83,0.14,0.1,0.05,fine dining,Gold
523416,43295,35,0.48,0.01,0.48,fine dining,Basic
500948,23178,97,0.71,0.54,0.37,international travel & restaurant visit & electronics purchase,Basic
1003131,64873,85,0.61,0.35,0.07,international travel & electronics purchase,Gold
1139060,45902,55,0.95,0.04,0.26,electronics purchase,Gold
781997,50627,33,0.82,0.35,0.28,flight booking & online shopping,Gold
1050883,82151,19,0.87,0.09,0.08,electronics purchase,Gold
890409,49588,94,0.54,0.02,0.21,online shopping,Gold
638720,55783,80,0.33,0.07,0.32,fine dining,Basic
890348,26421,29,0.7,0.47,0.14,flight booking & online shopping,Basic
1184509,45606,65,0.44,0.45,0.17,international travel,Gold
791043,62190,45,0.29,0.36,0.06,flight booking,Gold
1191160,18892,73,0.15,0.13,0.21,online shopping,Basic
200000,54016,8,0.53,0.44,0.29,international travel & online shopping,Basic
1005475,52015,61,0.59,0.24,0.06,electronics purchase,Gold
821761,50825,35,0.57,0.31,0.31,hotel stay & restaurant visit & electronics purchase,Gold
725248,70743,7,0.12,0.54,0.2,international travel,Gold
822940,56688,71,0.57,0.27,0.34,fine dining & online shopping,Gold
303107,79561,94,0.17,0.38,0.16,international travel,Basic
745082,30128,54,0.66,0.58,0.28,international travel & electronics purchase,Basic
889278,52718,21,0.43,0.27,0.31,restaurant visit,Gold
1169473,51689,64,0.85,0.34,0.35,flight booking & restaurant visit & electronics purchase,Gold
670432,28614,78,0.78,0.35,0.38,flight booking & restaurant visit & online shopping,Basic
597876,69125,70,0.72,0.14,0.07,electronics purchase,Basic
674560,96493,92,0.7,0.44,0.48,international travel & fine dining & online shopping,Basic
1028850,49659,79,0.56,0.44,0.42,international travel & restaurant visit & online shopping,Gold
882187,60100,28,0.06,0.13,0.28,fine dining,Gold
667559,51690,91,0.66,0.01,0.45,restaurant visit & online shopping,Platinum
928316,35728,36,0.47,0.6,0.19,international travel,Basic
824269,13584,91,0.47,0.35,0.02,international travel,Platinum
1042161,35884,23,0.38,0.11,0.36,fine dining,Basic
624486,22160,70,0.93,0.17,0.47,restaurant visit & electronics purchase,Basic
718084,84082,64,0.25,0.37,0.08,flight booking,Gold
701972,47697,70,0.32,0.08,0.32,fine dining,Gold
434121,43081,19,0.96,0.02,0.41,restaurant visit & electronics purchase,Basic
874030,67783,89,0.81,0.48,0.45,flight booking & fine dining & online shopping,Gold
865263,27564,39,0.01,0.43,0.14,international travel,Basic
801278,34662,73,0.91,0.19,0.06,online shopping,Basic
741353,51361,31,0.23,0.04,0.12,hotel stay,Gold
446157,70575,92,0.71,0.29,0.29,electronics purchase,Basic
694838,60033,11,0.55,0.17,0.46,fine dining & online shopping,Basic
714321,54966,10,0.54,0.24,0.29,online shopping,Platinum
599430,51562,37,0.72,0.16,0.46,restaurant visit & online shopping,Basic
759678,58004,62,0.21,0.11,0.39,restaurant visit,Gold
901012,54033,53,0.16,0.23,0.3,movie tickets,Gold
1271546,29400,21,0.65,0.58,0.01,international travel & electronics purchase,Basic
843644,50921,46,0.29,0.16,0.17,grocery shopping,Gold
864387,28526,98,0.97,0.2,0.03,online shopping,Basic
781388,51621,76,0.45,0.2,0.16,electronics purchase,Gold
320307,40387,44,0.11,0.29,0.03,online shopping,Basic
793371,100787,50,0.69,0.51,0.08,international travel & electronics purchase,Gold
815057,49202,75,0.31,0.24,0.21,restaurant visit,Gold
1415810,21915,74,0.15,0.48,0.26,international travel,Platinum
751909,47316,72,0.42,0.07,0.11,restaurant visit,Gold
875386,60387,5,0.96,0.54,0.37,flight booking & fine dining & online shopping,Gold
791322,83467,83,0.41,0.11,0.3,hotel stay,Gold
507830,38210,99,0.35,0.02,0.35,restaurant visit,Basic
1085705,18351,93,0.44,0.1,0.37,fine dining,Basic
987983,66336,56,0.01,0.11,0.36,fine dining,Platinum
997757,22388,39,0.13,0.31,0.47,international travel & fine dining,Basic
572653,41276,73,0.85,0.27,0.12,online shopping,Basic
1150698,44847,9,0.98,0.43,0.14,flight booking & online shopping,Gold
449537,48607,21,0.16,0.03,0.05,grocery shopping,Basic
946714,63783,57,0.54,0.3,0.3,online shopping,Platinum
1347613,36327,56,0.97,0.2,0.2,online shopping,Basic
552365,44525,18,0.16,0.38,0.25,hotel stay,Basic
658425,49714,33,0.19,0.03,0.08,hotel stay,Basic
824912,52991,12,0.93,0.02,0.32,fine dining & electronics purchase,Gold
674131,51956,5,0.71,0.26,0.31,restaurant visit & online shopping,Basic
412334,58720,33,0.15,0.49,0.13,international travel,Basic
817140,66876,40,0.39,0.4,0.23,flight booking,Gold
534424,57852,55,0.06,0.01,0.45,restaurant visit,Basic
918398,59071,41,0.43,0.11,0.39,fine dining,Platinum
570143,18355,97,0.78,0.14,0.11,electronics purchase,Basic
1187483,51004,73,0.55,0.25,0.44,restaurant visit & online shopping,Gold
604186,59590,57,0.65,0.35,0.03,flight booking & online shopping,Basic
719484,64578,56,0.33,0.13,0.21,online shopping,Gold
1003379,36152,92,0.16,0.23,0.04,fuel refill,Basic
492283,36819,87,0.01,0.35,0.46,hotel stay & restaurant visit,Basic
856864,38517,16,0.82,0.23,0.02,electronics purchase,Basic
1126785,60728,56,0.64,0.09,0.08,online shopping,Gold
