movie_id,title,year,runtime_min,budget_musd,box_office_musd,genres,director,main_actor,mpaa_rating,num_critic_reviews,avg_user_rating,language,country
1,Bright Night,2018,106,4.68,8.93,Crime,D_Wong,A_8,Unrated,15,5.9,English,USA
2,Final Heist,2004,117,2.5,1.7,Romance,D_33,A_Singh,R,11,6.4,English,UK
3,Red Dream,1997,105,3.97,2.65,Crime,D_Patel,A_Zhao,PG,8,6.8,Hindi,IND
4,Bright Sky,2010,148,4.94,10.1,Fantasy,D_12,A_Lopez,PG-13,8,6.8,Mandarin,CHN
5,Dark Promise,2008,122,7.84,19.35,Sci-Fi,D_65,A_63,PG-13,48,6.4,Spanish,ESP
6,Indie Night,2012,111,1.92,0.0,Sci-Fi,D_Wong,A_Lopez,PG-13,11,6.6,Hindi,IND
7,Last Days,2000,115,1.23,0.0,Adventure,D_14,A_Kumar,PG-13,13,7.1,Spanish,MEX
8,Golden Heist,2000,116,208.47,342.78,Action|Family,D_61,A_Patel,PG-13,36,4.5,Mandarin,CHN
9,Last Picnic,2013,117,3.37,0.61,Comedy|Drama,D_31,A_Brown,PG-13,6,6.1,English,USA
10,Golden Echo,2013,106,3.01,5.37,Fantasy,D_Johnson,A_91,PG-13,14,8.3,Mandarin,CHN
11,Indie Heist,1992,104,4.96,6.26,Sci-Fi|Romance|Horror,D_Kumar,A_Brown,R,5,5.5,English,USA
12,Urban Promise,2011,108,72.13,192.7,Comedy|Documentary,D_Johnson,A_Smith,PG,57,8.2,English,USA
13,Final Edge,1991,93,0.66,5.13,Action|Family,D_Garcia,A_81,PG-13,11,5.6,Mandarin,CHN
14,Last Edge,2013,121,226.56,,Adventure,D_Smith,A_109,PG-13,41,6.7,English,USA
15,Loud Echo,2019,98,3.56,1.94,Sci-Fi|Crime,D_2,A_Kumar,PG-13,10,4.4,English,USA
16,Indie Kingdom,1991,94,7.32,0.0,Romance,D_Smith,A_88,PG-13,33,5.9,English,UK
17,Final Dream,2010,110,2.87,2.7,Sci-Fi,D_Wong,A_62,R,11,6.8,English,USA
18,Golden Edge,2022,108,8.94,59.48,Fantasy,D_Nguyen,A_Singh,PG-13,27,7.1,English,USA
19,Hidden Days,2001,114,4.66,7.25,Documentary|Action,D_11,A_118,PG-13,17,5.5,English,USA
20,Dark Fall,2011,101,4.07,3.92,Documentary,D_Lee,A_84,PG-13,10,4.3,Hindi,IND
21,Bright Kingdom,2014,104,2.75,0.53,Crime,D_66,A_27,PG-13,6,8.1,English,USA
22,Midnight Promise,2016,120,0.25,0.18,Sci-Fi|Drama,D_Nguyen,A_105,Unrated,9,6.8,English,USA
23,Final Edge,2017,119,3.91,5.26,Crime,D_22,A_Zhao,PG-13,9,7.3,English,USA
24,First Echo,2005,119,2.57,8.38,Fantasy,D_Patel,A_43,PG,7,4.5,English,UK
25,Urban Picnic,2004,111,34.04,79.37,Family,D_Garcia,A_Smith,Unrated,39,5.5,English,CAN
26,Bright Report,1992,113,6.06,75.2,Adventure,D_Brown,A_Brown,PG-13,43,6.4,English,USA
27,Star Days,1996,113,17.62,4.51,Crime|Comedy|Sci-Fi,D_73,A_42,PG-13,30,6.1,English,USA
28,Secret Love,2010,100,1.31,0.0,Action,D_29,A_Smith,PG-13,8,6.9,English,USA
29,Midnight Promise,1998,132,1.27,0.0,Drama|Horror,D_24,A_Singh,R,8,8.6,English,USA
30,Golden Echo,2007,130,4.43,3.03,Documentary|Crime,D_Nguyen,A_13,PG-13,9,8.2,English,USA
31,Dark Night,1993,122,54.86,107.35,Thriller,D_Smith,A_Singh,PG-13,33,7.2,English,UK
32,Red Edge,2014,104,74.65,4.77,Comedy,D_69,A_Singh,PG-13,40,5.7,English,USA
33,Secret Days,2003,118,1.23,0.0,Horror|Sci-Fi,D_Garcia,A_143,PG-13,1,4.7,English,CAN
34,Red Love,1998,125,,2.72,Crime,D_Wong,A_185,PG-13,4,6.1,English,USA
35,Bright Fall,2015,92,3.61,0.0,Horror,D_Lee,A_Jones,PG-13,9,7.0,English,USA
36,Final Rise,1991,135,1.63,0.0,Fantasy,D_53,A_164,R,11,6.0,English,UK
37,Midnight Dream,2009,84,5.31,13.8,Comedy|Family,D_Smith,A_Singh,PG-13,27,5.2,English,USA
38,Midnight Kingdom,2017,121,46.13,67.45,Documentary,D_14,A_Garcia,PG-13,32,7.4,English,USA
39,Golden Sky,1996,132,1.47,0.0,Sci-Fi,D_Smith,A_Kumar,PG-13,13,6.8,English,CAN
40,Final Echo,1997,108,45.55,161.46,Horror,D_79,A_99,PG-13,40,5.7,English,USA
41,Dark Promise,2024,108,8.14,2.04,Documentary|Comedy,D_Smith,A_89,PG-13,39,8.0,English,USA
42,Loud Picnic,2003,120,93.08,162.46,Adventure|Comedy,D_72,A_Jones,R,44,6.3,English,CAN
43,Red Dream,2006,138,0.91,1.46,Documentary,D_Garcia,A_183,R,10,4.1,English,USA
44,Urban Fall,1993,106,40.3,78.87,Documentary,D_13,A_Jones,PG,42,5.6,French,FRA
45,Final Report,1991,98,1.86,5.24,Horror,D_9,A_Brown,PG-13,5,6.8,English,USA
46,Red Sky,1995,104,79.62,48.11,Family,D_62,A_58,PG,43,7.2,English,AUS
47,Hidden Love,1993,87,1.97,5.55,Crime|Action|Comedy,D_Fernandez,A_155,PG,9,5.5,English,USA
48,First Heist,2018,123,2.54,14.36,Thriller|Comedy,D_Nguyen,A_Lopez,PG-13,8,6.0,English,CAN
49,First Edge,2007,102,117.64,276.46,Drama,D_Fernandez,A_Lopez,Unrated,34,7.4,English,USA
50,Hidden Fall,2015,107,1.36,2.19,Action,D_13,A_112,R,9,6.6,Hindi,IND
51,Final Days,2023,124,1.74,0.0,Thriller,D_Patel,A_Zhao,R,8,6.9,English,USA
52,Golden Report,1999,104,59.04,1207.93,Thriller,D_10,A_Garcia,PG-13,55,5.1,Japanese,JPN
53,Hidden Heist,2003,121,53.7,,Romance,D_38,A_Smith,PG-13,41,5.2,English,USA
54,Family Fall,2020,94,1.49,3.86,Crime|Thriller,D_Kumar,A_98,PG-13,7,8.1,English,USA
55,Urban Dream,2004,124,204.61,248.69,Thriller,D_Fernandez,A_Smith,PG,36,7.4,English,UK
56,Final Dream,1997,115,,32.88,Drama,D_Smith,A_55,PG-13,46,6.5,English,UK
57,Red Echo,2003,109,5.84,10.47,Documentary,D_Johnson,A_Zhao,PG-13,48,6.3,Hindi,IND
58,Final Echo,2012,112,2.65,16.64,Romance|Sci-Fi,D_Smith,A_53,PG-13,10,6.7,French,FRA
59,Indie Report,2010,91,0.73,,Crime,D_26,A_104,R,8,6.2,French,FRA
60,Star Kingdom,2005,112,0.6,1.46,Adventure,D_94,A_59,Unrated,43,7.1,English,USA
61,Red Dream,2007,108,1.17,0.0,Thriller|Family,D_2,A_Brown,PG-13,3,6.9,English,USA
62,Family Days,2013,91,0.59,8.05,Action,D_Patel,A_162,Unrated,4,7.6,English,USA
63,First Love,2015,100,2.41,0.0,Action|Family,D_43,A_Smith,PG-13,5,7.9,English,USA
64,Bright Dream,2014,108,45.1,212.72,Action|Adventure,D_Nguyen,A_Smith,R,29,6.6,English,USA
65,Loud Edge,2018,101,10.78,12.76,Fantasy,D_Kumar,A_Brown,PG-13,44,7.1,English,USA
66,Indie Promise,2004,74,1.14,2.38,Comedy,D_74,A_Garcia,R,6,6.8,English,USA
67,Dark Fall,1990,126,5.16,6.5,Sci-Fi|Family,D_Kumar,A_Zhao,R,37,6.2,Japanese,JPN
68,Star Promise,2014,108,0.83,3.25,Documentary,D_94,A_Lopez,G,9,6.3,English,USA
69,Urban Picnic,1996,76,0.09,0.1,Sci-Fi|Fantasy,D_Fernandez,A_Garcia,Unrated,31,7.4,English,UK
70,Final Picnic,1998,142,62.76,80.0,Horror|Comedy,D_31,A_169,PG-13,33,7.0,English,UK
71,Last Sky,2013,129,2.3,0.0,Family,D_89,A_Garcia,PG-13,5,5.1,Spanish,ARG
72,Bright Sky,1990,105,2.32,0.0,Action,D_Brown,A_Jones,PG-13,8,6.0,English,USA
73,Final Edge,1997,97,5.51,3.83,Documentary,D_93,A_Garcia,PG-13,41,6.7,Spanish,MEX
74,Hidden Days,2013,116,0.47,1.4,Comedy|Family,D_Kumar,A_Zhao,Unrated,7,5.8,Mandarin,CHN
75,Secret Fall,2000,113,114.16,289.99,Crime,D_Smith,A_Garcia,R,43,7.2,English,USA
76,Loud Rise,2006,118,1.8,9.25,Crime|Thriller,D_11,A_Jones,PG,10,5.2,English,USA
77,Last Echo,1997,97,17.41,4.6,Drama,D_Johnson,A_Lopez,R,44,7.1,English,USA
78,Final Picnic,2024,126,1.26,5.46,Adventure|Thriller,D_Nguyen,A_162,R,6,7.6,English,USA
79,Loud Picnic,2024,103,0.38,3.6,Family,D_44,A_101,PG-13,8,5.9,Spanish,ESP
80,Bright Love,2022,120,11.64,1.75,Sci-Fi|Thriller|Action,D_56,A_Garcia,PG-13,43,7.8,English,USA
81,Secret Love,1994,98,24.68,8.23,Horror,D_Brown,A_42,PG-13,50,9.3,English,USA
82,Golden Dream,2017,150,1.6,2.93,Horror,D_Wong,A_142,Unrated,10,6.0,English,UK
83,Midnight Edge,1996,120,2.92,0.0,Horror,D_Johnson,A_188,R,9,6.6,English,UK
84,Loud Picnic,1998,153,1.58,0.0,Fantasy,D_19,A_Jones,R,3,6.5,Hindi,IND
85,Last Promise,1997,122,164.32,188.8,Romance|Fantasy,D_36,A_Garcia,R,44,6.8,English,CAN
86,Hidden Rise,2001,102,2.63,1.1,Action,D_Fernandez,A_177,Unrated,5,7.3,English,USA
87,Last Days,2023,122,77.95,19.01,Drama,D_Nguyen,A_153,R,44,8.7,English,AUS
88,Midnight Report,2022,124,38.84,64.71,Adventure|Sci-Fi,D_Garcia,A_Lopez,PG-13,38,5.7,French,FRA
89,Secret Heist,2012,116,1.38,0.0,Fantasy|Documentary,D_Fernandez,A_Chen,R,7,6.5,English,USA
90,First Heist,2013,119,38.77,0.0,Comedy,D_Brown,A_126,PG-13,43,5.0,English,USA
91,Dark Days,2024,121,2.22,2.96,Crime,D_39,A_Kumar,R,9,8.4,Mandarin,CHN
92,Family Love,2011,95,,3.48,Action,D_Smith,A_47,PG,9,7.2,English,USA
93,Dark Edge,2016,94,7.45,0.0,Action,D_Nguyen,A_163,R,36,5.9,English,USA
94,Silent Dream,2024,98,5.92,0.0,Sci-Fi,D_Johnson,A_Chen,PG-13,41,6.5,French,FRA
95,Family Picnic,1990,112,1.99,0.0,Comedy,D_75,A_Kumar,R,5,6.8,English,USA
96,Loud Journey,2024,107,4.6,8.08,Comedy|Adventure|Family,D_10,A_57,PG-13,8,4.1,Spanish,MEX
97,Indie Heist,2003,95,77.9,202.68,Sci-Fi,D_Nguyen,A_45,PG,34,6.8,English,CAN
98,Golden Echo,1992,122,2.07,0.0,Adventure,D_Smith,A_Jones,PG-13,11,6.8,English,USA
99,Secret Fall,1990,114,9.67,3.55,Romance,D_Nguyen,A_Singh,PG-13,42,7.0,English,USA
100,Midnight Rise,1994,113,17.78,1.05,Adventure,D_7,A_170,R,33,6.1,English,USA
101,Urban Days,2015,106,103.52,638.07,Sci-Fi,D_Wong,A_Garcia,R,40,7.9,English,CAN
102,Red Heist,2003,104,62.69,208.19,Adventure,D_Garcia,A_11,PG-13,49,6.4,English,UK
